GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CNS Engine,dom.institution.lab.cns.engine.reporter,BeliefEntryCounter,1,104,1,3,0,20,1,10,0,9
CNS Engine,dom.institution.lab.cns.engine.reporter,BeliefEntryCounter.AvgTracker,0,34,0,0,0,7,0,3,0,3
CNS Engine,dom.institution.lab.cns.engine.reporter,ReportEventFactory,39,0,2,0,10,0,4,0,3,0
CNS Engine,dom.institution.lab.cns.engine.reporter,Reporter.EventReports,0,39,0,0,0,7,0,1,0,1
CNS Engine,dom.institution.lab.cns.engine.reporter,BeliefEntry,13,72,5,5,1,13,6,6,1,6
CNS Engine,dom.institution.lab.cns.engine.reporter,Reporter,518,180,55,1,153,62,63,18,35,18
CNS Engine,dom.institution.lab.cns.engine.sampling.standardsamplers,StandardTransactionSampler,81,299,12,32,17,59,15,23,6,10
CNS Engine,dom.institution.lab.cns.engine.sampling.standardsamplers,StandardNodeSampler,82,95,6,4,16,20,13,7,8,7
CNS Engine,dom.institution.lab.cns.engine.sampling.standardsamplers,StandardNetworkSampler,16,0,0,0,4,0,2,0,2,0
CNS Engine,dom.institution.lab.cns.engine.exceptions,ConfigurationException,9,0,0,0,4,0,2,0,2,0
CNS Engine,dom.institution.lab.cns.engine.node,PoWNodeSet,181,14,22,0,46,6,16,2,5,2
CNS Engine,dom.institution.lab.cns.engine.node,AbstractNodeFactory,17,0,0,0,7,0,5,0,5,0
CNS Engine,dom.institution.lab.cns.engine.node,NodeSet,56,6,4,0,13,2,9,1,7,1
CNS Engine,dom.institution.lab.cns.engine.node,PoWNode,169,24,3,1,52,9,27,3,25,3
CNS Engine,dom.institution.lab.cns.engine.node,Node,224,83,23,9,56,21,30,10,18,6
CNS Engine,dom.institution.lab.cns.engine.config,Config,166,241,15,22,35,64,17,22,5,15
CNS Engine,dom.institution.lab.cns.engine.config,ConfigInitializer,92,308,26,24,20,86,26,8,1,8
CNS Engine,dom.institution.lab.cns.engine.sampling.filesamplers,FileBasedTransactionSampler,605,0,55,0,135,0,43,0,15,0
CNS Engine,dom.institution.lab.cns.engine.sampling.filesamplers,FileBasedNodeSampler,199,0,22,0,52,0,20,0,9,0
CNS Engine,dom.institution.lab.cns.engine.transaction,TransactionGroup,180,542,18,36,34,120,20,42,10,25
CNS Engine,dom.institution.lab.cns.engine.transaction,Transaction,70,106,10,6,21,34,14,12,6,12
CNS Engine,dom.institution.lab.cns.engine.transaction,TxDependencyRegistry,207,0,24,0,46,0,21,0,9,0
CNS Engine,dom.institution.lab.cns.engine.transaction,TxValueComparator,13,0,2,0,4,0,3,0,2,0
CNS Engine,dom.institution.lab.cns.engine.transaction,TxSizeComparator,13,0,2,0,4,0,3,0,2,0
CNS Engine,dom.institution.lab.cns.engine.transaction,TxConflictRegistry,82,100,10,8,18,26,10,7,3,5
CNS Engine,dom.institution.lab.cns.engine.transaction,TransactionWorkload,255,0,26,0,56,0,22,0,9,0
CNS Engine,dom.institution.lab.cns.engine.transaction,TxValuePerSizeComparator,19,0,2,0,4,0,3,0,2,0
CNS Engine,dom.institution.lab.cns.engine.sampling,SeedManager,41,58,1,1,11,15,8,3,7,3
CNS Engine,dom.institution.lab.cns.engine.sampling,Sampler,62,23,6,2,17,5,11,2,7,2
CNS Engine,dom.institution.lab.cns.engine.event,Event_Report_BeliefReport,54,0,6,0,16,0,5,0,2,0
CNS Engine,dom.institution.lab.cns.engine.event,Event_HashPowerChange,23,51,2,4,8,16,2,6,0,5
CNS Engine,dom.institution.lab.cns.engine.event,Event_Report_StructureReport,24,0,2,0,6,0,3,0,2,0
CNS Engine,dom.institution.lab.cns.engine.event,Event_Report_NodeStatusReport,24,0,2,0,6,0,3,0,2,0
CNS Engine,dom.institution.lab.cns.engine.event,EventTimeComparator,10,3,2,0,3,1,2,1,1,1
CNS Engine,dom.institution.lab.cns.engine.event,Event,82,40,9,3,19,14,10,7,4,7
CNS Engine,dom.institution.lab.cns.engine.event,Event_ContainerArrival,49,0,4,0,18,0,4,0,2,0
CNS Engine,dom.institution.lab.cns.engine.event,Event_ContainerValidation,61,0,6,0,21,0,6,0,3,0
CNS Engine,dom.institution.lab.cns.engine.event,Event_TransactionPropagation,47,0,4,0,17,0,4,0,2,0
CNS Engine,dom.institution.lab.cns.engine.event,Event_NewTransactionArrival,159,0,14,0,48,0,10,0,3,0
CNS Engine,dom.institution.lab.cns.engine.event,Event_SeedUpdate,36,0,4,0,14,0,4,0,2,0
CNS Engine,dom.institution.lab.cns.engine,SimulatorFactory,275,0,16,0,94,0,19,0,11,0
CNS Engine,dom.institution.lab.cns.engine,Simulation,216,42,10,0,57,14,27,3,22,3
CNS Engine,dom.institution.lab.cns.engine,Debug,74,20,7,3,20,6,15,3,10,3
CNS Engine,dom.institution.lab.cns.engine,ProgressBar,72,0,6,0,13,0,5,0,2,0
CNS Engine,dom.institution.lab.cns.engine.network,RandomEndToEndNetwork,53,3,8,0,11,2,6,1,2,1
CNS Engine,dom.institution.lab.cns.engine.network,AbstractNetwork,230,25,29,3,45,6,24,2,8,2
CNS Engine,dom.institution.lab.cns.engine.network,FileBasedEndToEndNetwork,123,0,20,0,36,0,14,0,4,0
CNS Engine,dom.institution.lab.cns.engine.network,NetworkFactory,37,0,2,0,15,0,3,0,2,0
CNS Engine,dom.institution.lab.cns.engine.sampling.factories,TransactionSamplerFactory,27,0,2,0,6,0,3,0,2,0
CNS Engine,dom.institution.lab.cns.engine.sampling.factories,NodeSamplerFactory,155,0,30,0,35,0,17,0,2,0
CNS Engine,dom.institution.lab.cns.engine.sampling.factories,NetworkSamplerFactory,24,0,4,0,5,0,4,0,2,0
CNS Engine,dom.institution.lab.cns.engine.commandline,CommandLineParser,194,282,19,31,40,54,22,23,10,10
CNS Engine,dom.institution.lab.cns.engine.sampling.interfaces,AbstractTransactionSampler,54,89,5,5,16,29,14,8,9,8
CNS Engine,dom.institution.lab.cns.engine.sampling.interfaces,AbstractNodeSampler,139,93,18,6,38,31,22,9,10,9
CNS Engine,dom.institution.lab.cns.engine.sampling.interfaces,AbstractNetworkSampler,107,0,8,0,34,0,16,0,12,0
